state,ccn,facility_name,street_address,city,zip_code,fips_county,provider_subtype,reporting_source,dates_with_missing_data,certified_bed_count,component_hospitals,week_ending,days_at_100%,percentage_of_required_fields_reported,hospital_required_to_report_wed_only,total_beds,all_adult_hospital_beds,inpatient_beds,all_adult_hospital_inpatient_beds,inpatient_beds_used,all_adult_hospital_inpatient_bed_occupied,total_icu_beds,total_staffed_adult_icu_beds,icu_beds_used,staffed_adult_icu_bed_occupancy,total_ventilators,ventilators_used,total_adult_patients_hospitalized_confirmed_and_suspected_covid,total_adult_patients_hospitalized_confirmed_covid,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid,total_pediatric_patients_hospitalized_confirmed_covid,inpatient_ventilators_used_covid,staffed_icu_adult_patients_confirmed_and_suspected_covid,staffed_icu_adult_patients_confirmed_covid,hospital_onset_covid,overflow_covid,overflow_ventilators_used_covid,deaths_covid,previous_day_admission_adult_covid_confirmed,previous_day_admission_adult_covid_suspected,previous_day_admission_adult_covid_suspected_all,previous_day_admission_adult_covid_confirmed_all,previous_day_admission_pediatric_covid_confirmed,previous_day_admission_pediatric_covid_suspected,previous_day_total_ed_visits,previous_day_covid_ed_visits,total_patients_hospitalized_confirmed_influenza,previous_day_admission_influenza_confirmed,icu_patients_confirmed_influenza,total_patients_hospitalized_confirmed_influenza_and_covid,previous_day_deaths_influenza,previous_day_deaths_covid_and_influenza,previous_day_remdesivir_used,on_hand_supply_remdesivir_vials,critical_staffing_shortage_today,critical_staffing_shortage_anticipated_within_week,ppe_supply_management_source,on_hand_ventilator_supplies_in_days,n95_respirators_days_available,on_hand_supply_of_surgical_masks_in_days,on_hand_supply_of_eye_protection_in_days,on_hand_supply_of_single_use_surgical_gowns_in_days,on_hand_supply_of_gloves_in_days,able_to_obtain_ventilator_supplies,able_to_obtain_ventilator_medications,able_to_obtain_n95_masks,able_to_obtain_paprs,able_to_obtain_surgical_masks,able_to_obtain_eye_protection,able_to_obtain_single_use_gowns,able_to_obtain_gloves,able_to_maintain_ventilator_supplies,able_to_maintain_ventilator_medications,able_to_maintain_n95_masks,able_to_maintain_paprs,able_to_maintain_surgical_masks,able_to_maintain_eye_protection,able_to_maintain_single_use_gowns,able_to_maintain_gloves,able_to_maintain_lab_nasal_pharyngeal_swabs,able_to_maintain_lab_nasal_swabs,able_to_maintain_lab_viral_transport_media,on_hand_supply_therapeutic_a_casirivimab_imdevimab_courses,previous_week_therapeutic_a_casirivimab_imdevimab_courses_used,on_hand_supply_therapeutic_c_bamlanivimab_etesevimab_courses,previous_week_therapeutic_c_bamlanivimab_etesevimab_courses_used,on_hand_supply_therapeutic_b_bamlanivimab_courses,previous_week_therapeutic_b_bamlanivimab_courses_used,previous_week_personnel_covid_vaccinated_doses_administered,total_personnel_covid_vaccinated_doses_none,total_personnel_covid_vaccinated_doses_one,total_personnel_covid_vaccinated_doses_all,total_personnel,previous_week_patients_covid_vaccinated_doses_one,previous_week_patients_covid_vaccinated_doses_all,Georeference
KY,180025,FLAGET MEMORIAL HOSPITAL,4305 NEW SHEPHERDSVILLE ROAD,BARDSTOWN,40004,179,Short Term,new_nhsn,[],40,1,03/02/2023 12:00:00 AM,14,1,false,0.0,0.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,0.0,0.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,0.0,0.0,0.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0,0,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,2,0,2,2,2,2,0,0,0,,,,,,,,,,,,,,POINT (-85.52277 37.86312)
WI,520021,FROEDTERT SOUTH - FROEDTERT PLEASANT PRAIRIE,9555 76TH ST,PLEASANT PRAIRIE,53158,59,Short Term,new_nhsn,[],380,1,03/02/2023 12:00:00 AM,14,1,false,2.0,0.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,0.0,0.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,0.0,0.0,0.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0,0,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,2,0,2,2,2,2,0,0,0,,,,,,,,,,,,,,POINT (-87.92333 42.56617)
UT,461302,MOAB REGIONAL HOSPITAL,450 WEST WILLIAMS WAY,MOAB,84532,19,Critical Access Hospitals,new_nhsn,[],17,1,03/02/2023 12:00:00 AM,14,1,false,0.0,0.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,0.0,0.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,0.0,0.0,0.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0,0,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,2,0,2,2,2,2,0,0,0,,,,,,,,,,,,,,POINT (-109.56018 38.5743)
AZ,031311,LITTLE COLORADO MEDICAL CENTER,1501 NORTH WILLIAMSON AVENUE,WINSLOW,86047,17,Critical Access Hospitals,new_nhsn,[],25,1,03/02/2023 12:00:00 AM,14,1,false,14.0,0.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,0.0,0.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,0.0,0.0,0.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0,0,2,2,2,2,2,0,0,2,0,2,2,2,2,0,0,2,0,2,2,2,2,0,0,0,,,,,,,,,,,,,,POINT (-110.69174 35.03553)
CO,061320,GUNNISON VALLEY HOSPITAL,711 N TAYLOR ST,GUNNISON,81230,51,Critical Access Hospitals,new_nhsn,[],24,1,03/02/2023 12:00:00 AM,14,1,false,0.0,0.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,0.0,0.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,0.0,0.0,0.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0,0,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,2,0,2,2,2,2,0,0,0,,,,,,,,,,,,,,POINT (-106.92431 38.55141)
IL,140115,THOREK MEMORIAL HOSPITAL,850 W IRVING PARK RD,CHICAGO,60613,31,Short Term,new_nhsn,[],218,1,03/02/2023 12:00:00 AM,14,1,false,0.0,0.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,0.0,0.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,0.0,0.0,0.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,2,0,2,2,2,2,0,0,0,,,,,,,,,,,,,,POINT (-87.65107 41.95453)
AZ,030006,TUCSON MEDICAL CENTER,5301 EAST GRANT ROAD,TUCSON,85712,19,Short Term,new_nhsn,['2023-03-02'],596,1,03/02/2023 12:00:00 AM,13,0.932,false,0.0,0.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,0.0,0.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,0.0,0.0,0.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0,0,2,2,2,2,2,0,0,2,0,2,2,2,2,0,0,2,0,2,2,2,2,0,0,0,,,,,,,,,,,,,,POINT (-110.87974 32.25075)
CA,053300,VALLEY CHILDREN'S HOSPITAL,9300 VALLEY CHILDRENS PLACE,MADERA,93636,19,Childrens Hospitals,new_nhsn,[],358,1,03/02/2023 12:00:00 AM,14,1,false,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,0.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,0.0,0.0,0.0,0.0,2.0,0,0,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,2,0,2,2,2,2,0,0,0,,,,,,,,,,,,,,POINT (-119.80038 36.8844)
WV,510007,ST MARY'S MEDICAL CENTER,2900 1ST AVENUE,HUNTINGTON,25702,11,Short Term,new_nhsn,[],440,1,03/02/2023 12:00:00 AM,14,1,false,0.0,0.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,0.0,0.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,0.0,0.0,0.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0,0,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,2,0,2,2,2,2,0,0,0,,,,,,,,,,,,,,POINT (-82.40144 38.43192)
IN,150008,ST CATHERINE HOSPITAL INC,4321 FIR STREET,EAST CHICAGO,46312,89,Short Term,new_nhsn,[],189,1,03/02/2023 12:00:00 AM,14,1,false,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,0.0,0.0,14.0,0.0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,,,POINT (-87.4484 41.63438)
VA,490136,BON SECOURS ST FRANCIS MEDICAL CENTER,13710 ST FRANCIS BOULEVARD,MIDLOTHIAN,23114,41,Short Term,new_nhsn,[],130,1,03/02/2023 12:00:00 AM,14,1,false,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,2.0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,,,POINT (-77.65905 37.46623)
WA,501322,FERRY COUNTY MEMORIAL HOSPITAL,36 KLONDIKE ROAD,REPUBLIC,99166,19,Critical Access Hospitals,new_nhsn,[],25,1,03/02/2023 12:00:00 AM,14,1,false,0.0,0.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,2.0,2.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,0.0,0.0,0.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,,,POINT (-118.73332 48.65255)
GA,110237,NORTHEAST GEORGIA MEDICAL CENTER LUMPKIN,227 MOUNTAIN DRIVE,DAHLONEGA,30533,187,Short Term,new_nhsn,[],10,1,03/02/2023 12:00:00 AM,14,1,false,0.0,0.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,0.0,0.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,0.0,0.0,0.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0,0,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,2,0,2,2,2,2,0,0,0,,,,,,,,,,,,,,POINT (-83.97667 34.52539)
FL,100231,HCA FLORIDA WEST HOSPITAL,8383 N DAVIS HWY,PENSACOLA,32514,33,Short Term,new_nhsn,[],515,1,03/02/2023 12:00:00 AM,14,1,false,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,0.0,0.0,0.0,0.0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,,,POINT (-87.2169 30.51526)
OK,370094,SSM HEALTH ST ANTHONY HOSPITAL - MIDWEST,2825 PARKLAWN DRIVE,MIDWEST CITY,73110,109,Short Term,new_nhsn,[],255,1,03/02/2023 12:00:00 AM,14,1,false,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,0.0,0.0,0.0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,,,POINT (-97.3928 35.4667)
VA,490117,CARILION TAZEWELL COMMUNITY HOSPITAL,388 BEN BOLT AVENUE,TAZEWELL,24651,185,Short Term,new_nhsn,[],238,1,03/02/2023 12:00:00 AM,14,1,false,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,2.0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,,,POINT (-81.48976 37.12596)
IA,161340,DECATUR COUNTY HOSPITAL,1405 NW CHURCH STREET,LEON,50144,53,Critical Access Hospitals,new_nhsn,[],25,1,03/02/2023 12:00:00 AM,14,1,false,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,0.0,0.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,2,0,2,2,2,2,0,0,0,,,,,,,,,,,,,,POINT (-93.74776 40.75114)
IN,150113,COMMUNITY HOSPITAL OF ANDERSON AND MADISON COUNTY,1515 N MADISON AVE,ANDERSON,46011,95,Short Term,new_nhsn,[],137,1,03/02/2023 12:00:00 AM,14,1,false,8.0,8.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,8.0,8.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,8.0,8.0,8.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,8.0,8.0,8.0,0.0,0.0,8.0,1.0,1,1,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,2,1,2,2,2,2,1,1,1,,,,,,,,,,,,,,POINT (-85.69152 40.13378)
WA,500016,CENTRAL WASHINGTON HOSPITAL,1201 SOUTH MILLER STREET,WENATCHEE,98807,7,Short Term,new_nhsn,['2023-03-02'],198,1,03/02/2023 12:00:00 AM,13,0.973,false,0.0,0.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,1.0,1.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,0.0,0.0,0.0,14.0,14.0,14.0,14.0,14.0,14.0,13.0,14.0,14.0,14.0,14.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,,,POINT (-120.32454 47.4077)
TX,450723,METHODIST CHARLTON MEDICAL CENTER,3500 W WHEATLAND ROAD,DALLAS,75237,113,Short Term,new_nhsn,[],285,1,03/02/2023 12:00:00 AM,14,1,false,0.0,0.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,0.0,0.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,0.0,0.0,0.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,2,0,2,2,2,2,0,0,0,,,,,,,,,,,,,,POINT (-96.87715 32.64748)
TN,440020,SOUTHERN TENNESSEE REGIONAL HEALTH SYSTEM PULASKI,1265 E COLLEGE ST,PULASKI,38478,55,Short Term,new_nhsn,[],95,1,03/02/2023 12:00:00 AM,14,1,false,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,0.0,0.0,0.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,2,0,2,2,2,2,0,0,0,,,,,,,,,,,,,,POINT (-87.00295 35.19026)
IN,150158,IU HEALTH WEST HOSPITAL,1111 N RONALD REAGAN PKWY,AVON,46123,63,Short Term,new_nhsn,[],127,1,03/02/2023 12:00:00 AM,14,1,false,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,2.0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,,,POINT (-86.34352 39.7805)
AK,021304,PETERSBURG MEDICAL CENTER,PO BOX 589,PETERSBURG,99833,280,Critical Access Hospitals,new_nhsn,[],12,1,03/02/2023 12:00:00 AM,14,1,false,0.0,0.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,0.0,0.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,2,0,2,2,2,2,0,0,0,,,,,,,,,,,,,,
MI,232033,SELECT SPECIALTY HOSPITAL-SAGINAW,"1447 NORTH HARRISON, 7TH & 8TH FLOOR",SAGINAW,48602,145,Long Term,new_nhsn,[],32,1,03/02/2023 12:00:00 AM,14,1,false,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,2.0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,,,POINT (-83.95555 43.42867)
KY,180051,JENNIE STUART MEDICAL CENTER,320 WEST 18TH STREET,HOPKINSVILLE,42240,47,Short Term,new_nhsn,[],194,1,03/02/2023 12:00:00 AM,14,1,false,0.0,0.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,0.0,0.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,0.0,0.0,0.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0,0,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,2,0,2,2,2,2,0,0,0,,,,,,,,,,,,,,POINT (-87.4949 36.8601)
NY,330006,ST JOSEPH'S MEDICAL CENTER,127 SOUTH BROADWAY,YONKERS,10701,119,Short Term,new_nhsn,[],332,1,03/02/2023 12:00:00 AM,14,1,false,0.0,0.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,0.0,0.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,0.0,0.0,0.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0,0,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,2,0,2,2,2,2,0,0,0,,,,,,,,,,,,,,POINT (-73.89698 40.92963)
WA,500037,ASTRIA TOPPENISH HOSPITAL,502 W FOURTH AVE,TOPPENISH,98948,77,Short Term,new_nhsn,[],63,1,03/02/2023 12:00:00 AM,14,1,false,0.0,0.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,2.0,2.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,0.0,0.0,0.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,,,POINT (-120.31654 46.37136)
HI,120001,THE QUEENS MEDICAL CENTER,1301 PUNCHBOWL ST,HONOLULU,96813,3,Short Term,new_nhsn,[],585,3,03/02/2023 12:00:00 AM,14,1,false,1.0,0.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,1.0,1.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,1.0,1.0,1.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,1.0,1.0,1.0,0.0,0.0,1.0,2.0,0,0,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,2,0,2,2,2,2,0,0,0,,,,,,,,,,,,,,POINT (-157.85524 21.30755)
LA,190025,SAVOY MEDICAL CENTER,801 POINCIANA AVENUE,MAMOU,70554,39,Short Term,new_nhsn,[],60,1,03/02/2023 12:00:00 AM,14,1,false,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,12.0,12.0,12.0,6.0,6.0,10.0,2.0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,,,POINT (-92.41709 30.64106)
IL,142010,RML HEALTH PROVIDERS LIMITED PARTNERSHIP,5601 S COUNTY LINE RD,HINSDALE,60521,31,Long Term,new_nhsn,[],189,2,03/02/2023 12:00:00 AM,14,1,false,0.0,0.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,0.0,0.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,0.0,0.0,0.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,7.0,7.0,7.0,0.0,0.0,1.0,2.0,0,0,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,2,0,2,2,2,2,0,0,0,,,,,,,,,,,,,,POINT (-87.91692 41.78735)
OH,360079,KETTERING HEALTH MAIN CAMPUS,3535 SOUTHERN BOULEVARD,KETTERING,45429,113,Short Term,new_nhsn,[],379,1,03/02/2023 12:00:00 AM,14,1,false,0.0,0.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,0.0,0.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,0.0,0.0,0.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,2,0,2,2,2,2,0,0,0,,,,,,,,,,,,,,POINT (-84.19084 39.69652)
PA,390025,KENSINGTON HOSPITAL,136 W DIAMOND STREET,PHILADELPHIA,19122,101,Short Term,new_nhsn,[],31,1,03/02/2023 12:00:00 AM,14,1,false,0.0,0.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,0.0,0.0,0.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0,0,2,2,2,2,2,0,0,2,0,2,2,2,2,0,0,2,0,2,2,2,2,0,0,0,,,,,,,,,,,,,,POINT (-75.13456 39.98187)
TX,451389,PECOS COUNTY MEMORIAL HOSPITAL,387 WEST I 10,FORT STOCKTON,79735,371,Critical Access Hospitals,new_nhsn,[],25,1,03/02/2023 12:00:00 AM,14,1,false,0.0,0.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,0.0,0.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,0.0,0.0,0.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,2,0,2,2,2,2,0,0,0,,,,,,,,,,,,,,POINT (-102.87987 30.90639)
KS,171383,WILLIAM NEWTON HOSPITAL,1300 EAST FIFTH AVENUE,WINFIELD,67156,35,Critical Access Hospitals,new_nhsn,[],25,1,03/02/2023 12:00:00 AM,14,1,false,0.0,0.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,0.0,0.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,0.0,0.0,0.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0,0,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,2,0,2,2,2,2,0,0,0,,,,,,,,,,,,,,POINT (-96.98277 37.24464)
SD,431301,FAULKTON AREA MEDICAL CENTER,1300 OAK STREET  POST OFFICE BOX 100,FAULKTON,57438,49,Critical Access Hospitals,new_nhsn,[],12,1,03/02/2023 12:00:00 AM,14,1,false,1.0,0.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,0.0,0.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,0.0,0.0,0.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0,0,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,2,0,2,2,2,2,0,0,0,,,,,,,,,,,,,,POINT (-99.13179 45.02999)
KS,171312,COMANCHE COUNTY HOSPITAL,202 S FRISCO STREET,COLDWATER,67029,33,Critical Access Hospitals,new_nhsn,[],12,1,03/02/2023 12:00:00 AM,14,1,false,0.0,0.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,0.0,0.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,0.0,0.0,0.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0,0,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,2,0,2,2,2,2,0,0,0,,,,,,,,,,,,,,POINT (-99.33211 37.26808)
